CROPS_WL,ID_CROPS_WL,GROUP_WL,ID_GROUP_WL,GROUP_WL_filtered,CROPS_WL_filtered,match,max_match,ID_GROUP_ICC,sim
Betterave sucrière,91,AUTRES UTILISATIONS DU SOL,AUTRES UTILISATIONS DU SOL,UTILISATIONS DU SOL,Betterave sucrière,"[['CROPS_WL', 91, 'Betterave sucrière', 'Betterave sucrière', 8, 100.0]]","['CROPS_WL', 91, 'Betterave sucrière', 'Betterave sucrière', 8, 100.0]",8.0,100.0
Chicorée à inuline,9811,AUTRES UTILISATIONS DU SOL,AUTRES UTILISATIONS DU SOL,UTILISATIONS DU SOL,Chicorée à inuline,[],[],,
Chicorée à café,9812,AUTRES UTILISATIONS DU SOL,AUTRES UTILISATIONS DU SOL,UTILISATIONS DU SOL,Chicorée à café,[],[],,
Jachère herbacée,811,AUTRES UTILISATIONS DU SOL,AUTRES UTILISATIONS DU SOL,UTILISATIONS DU SOL,Jachère herbacée,[],[],,
Jachère NON herbacée,812,AUTRES UTILISATIONS DU SOL,AUTRES UTILISATIONS DU SOL,UTILISATIONS DU SOL,Jachère NON herbacée,[],[],,
Jachère mellifère,813,AUTRES UTILISATIONS DU SOL,AUTRES UTILISATIONS DU SOL,UTILISATIONS DU SOL,Jachère mellifère,[],[],,
Cultures forestières à rotation courte (taillis à très courte rotation),883,AUTRES UTILISATIONS DU SOL,AUTRES UTILISATIONS DU SOL,UTILISATIONS DU SOL,Cultures forestières à rotation courte,[],[],,
Multiplication de semences en mode de production biologique*,821,AUTRES UTILISATIONS DU SOL,AUTRES UTILISATIONS DU SOL,UTILISATIONS DU SOL,Multiplication de semences en mode de production biologique,[],[],,
Houblon,9822,AUTRES UTILISATIONS DU SOL,AUTRES UTILISATIONS DU SOL,UTILISATIONS DU SOL,Houblon,"[['CROPS_WL', 9822, 'Houblon', 'Houblon', 6, 100.0]]","['CROPS_WL', 9822, 'Houblon', 'Houblon', 6, 100.0]",6.0,100.0
Miscanthus,884,AUTRES UTILISATIONS DU SOL,AUTRES UTILISATIONS DU SOL,UTILISATIONS DU SOL,Miscanthus,[],[],,
Ortie,7431,AUTRES UTILISATIONS DU SOL,AUTRES UTILISATIONS DU SOL,UTILISATIONS DU SOL,Ortie,[],[],,
Plantes aromatiques,953,AUTRES UTILISATIONS DU SOL,AUTRES UTILISATIONS DU SOL,UTILISATIONS DU SOL,Plantes aromatiques,[],[],,
Plantes médicinales,957,AUTRES UTILISATIONS DU SOL,AUTRES UTILISATIONS DU SOL,UTILISATIONS DU SOL,Plantes médicinales,[],[],,
Tabac,9821,AUTRES UTILISATIONS DU SOL,AUTRES UTILISATIONS DU SOL,UTILISATIONS DU SOL,Tabac,"[['CROPS_WL', 9821, 'Tabac', 'Tabac', 9, 100.0]]","['CROPS_WL', 9821, 'Tabac', 'Tabac', 9, 100.0]",9.0,100.0
Couvert à finalité environnementale rémunéré par des tiers privés,874,AUTRES UTILISATIONS DU SOL,AUTRES UTILISATIONS DU SOL,UTILISATIONS DU SOL,Couvert à finalité environnementale rémunéré par des tiers privés,[],[],,
Tounière enherbée,751,AUTRES UTILISATIONS DU SOL,AUTRES UTILISATIONS DU SOL,UTILISATIONS DU SOL,Tounière enherbée,[],[],,
"Bande/parcelle aménagée MAE – MC7, MC8",754,AUTRES UTILISATIONS DU SOL,AUTRES UTILISATIONS DU SOL,UTILISATIONS DU SOL,Bandeparcelle aménagée MAE MC7 MC8,[],[],,
Bande bordure de champ,752,AUTRES UTILISATIONS DU SOL,AUTRES UTILISATIONS DU SOL,UTILISATIONS DU SOL,Bande bordure de champ,[],[],,
Parcours BIO (volaille ou porc),760,AUTRES UTILISATIONS DU SOL,AUTRES UTILISATIONS DU SOL,UTILISATIONS DU SOL,Parcours BIO,[],[],,
Autres couverts semés *,85,AUTRES UTILISATIONS DU SOL,AUTRES UTILISATIONS DU SOL,UTILISATIONS DU SOL,couverts semés,[],[],,
