GROUP_CAT,CROPS_CAT,GROUP_CAT_filtered,ID_GROUP_CAT,CROPS_CAT_filtered,ID_CROPS_CAT,match,max_match,ID_GROUP_ICC,sim
lleguminoses,erbs (llegum) sie,lleguminoses,lleguminoses,erbs sie,erbs (llegum) sie,"[['GROUP_CAT', 'lleguminoses', 'lleguminoses', 'Altres conreus temporals de llavors oleaginoses', 4, 78.0], ['GROUP_CAT', 'lleguminoses', 'lleguminoses', 'Altres conreus temporals de llavors oleaginoses', 4, 78.0], ['GROUP_CAT', 'lleguminoses', 'lleguminoses', 'Cultius permanents de llavors oleaginoses', 4, 78.0], ['GROUP_CAT', 'lleguminoses', 'lleguminoses', 'Altres fruites oleaginoses', 4, 78.0], ['GROUP_CAT', 'lleguminoses', 'lleguminoses', 'Cultius de lleguminoses', 7, 100.0], ['GROUP_CAT', 'lleguminoses', 'lleguminoses', 'Cultius de lleguminoses', 7, 100.0]]","['GROUP_CAT', 'lleguminoses', 'lleguminoses', 'Cultius de lleguminoses', 7, 100.0]",7.0,100.0
farratgeres,fenigrec sie,farratgeres,farratgeres,fenigrec sie,fenigrec sie,"[['GROUP_CAT', 'farratgeres', 'farratgeres', 'Herbes i altres conreus farratges', 9, 90.0], ['GROUP_CAT', 'farratgeres', 'farratgeres', ""Conreus temporals d'herba i farratges"", 9, 90.0], ['GROUP_CAT', 'farratgeres', 'farratgeres', ""Cultius permanents d'herba i farratges"", 9, 90.0]]","['GROUP_CAT', 'farratgeres', 'farratgeres', 'Herbes i altres conreus farratges', 9, 90.0]",9.0,90.0
farratgeres,trepadella no sie,farratgeres,farratgeres,trepadella no sie,trepadella no sie,"[['GROUP_CAT', 'farratgeres', 'farratgeres', 'Herbes i altres conreus farratges', 9, 90.0], ['GROUP_CAT', 'farratgeres', 'farratgeres', ""Conreus temporals d'herba i farratges"", 9, 90.0], ['GROUP_CAT', 'farratgeres', 'farratgeres', ""Cultius permanents d'herba i farratges"", 9, 90.0]]","['GROUP_CAT', 'farratgeres', 'farratgeres', 'Herbes i altres conreus farratges', 9, 90.0]",9.0,90.0
altres productes,remolatxa,productes,altres productes,remolatxa,remolatxa,"[['CROPS_CAT', 'remolatxa', 'remolatxa', 'Remolatxa sucrera', 8, 89.0]]","['CROPS_CAT', 'remolatxa', 'remolatxa', 'Remolatxa sucrera', 8, 89.0]",8.0,89.0
horticoles,api,horticoles,horticoles,api,api,[],[],,
horticoles,albergínia,horticoles,horticoles,albergínia,albergínia,"[['CROPS_CAT', 'albergínia', 'albergínia', 'Albergínies', 2, 76]]","['CROPS_CAT', 'albergínia', 'albergínia', 'Albergínies', 2, 76]",2.0,76.0
horticoles,nap i col xinesa,horticoles,horticoles,nap i col xinesa,nap i col xinesa,[],[],,
horticoles,espinac,horticoles,horticoles,espinac,espinac,"[['CROPS_CAT', 'espinac', 'espinac', 'Espinacs', 2, 80]]","['CROPS_CAT', 'espinac', 'espinac', 'Espinacs', 2, 80]",2.0,80.0
horticoles,rave,horticoles,horticoles,rave,rave,[],[],,
altres productes,alfàbrega,productes,altres productes,alfàbrega,alfàbrega,"[['CROPS_CAT', 'alfàbrega', 'alfàbrega', 'Alfàbrega', 9, 89]]","['CROPS_CAT', 'alfàbrega', 'alfàbrega', 'Alfàbrega', 9, 89]",9.0,89.0
fruita dolca,kiwi,fruita dolca,fruita dolca,kiwi,kiwi,"[['GROUP_CAT', 'fruita dolca', 'fruita dolca', 'fruits secs de cola', 3, 75.0], ['CROPS_CAT', 'kiwi', 'kiwi', 'kiwi', 3, 100]]","['CROPS_CAT', 'kiwi', 'kiwi', 'kiwi', 3, 100]",3.0,100.0
cereals,triticale,cereals,cereals,triticale,triticale,"[['GROUP_CAT', 'cereals', 'cereals', 'Cereals', 1, 86], ['GROUP_CAT', 'cereals', 'cereals', 'Cereals barrejats', 1, 86.0], ['GROUP_CAT', 'cereals', 'cereals', 'Altres cereals', 1, 100.0], ['CROPS_CAT', 'triticale', 'triticale', 'triticale', 1, 100]]","['GROUP_CAT', 'cereals', 'cereals', 'Altres cereals', 1, 100.0]",1.0,100.0
farratgeres,veces no sie,farratgeres,farratgeres,veces no sie,veces no sie,"[['GROUP_CAT', 'farratgeres', 'farratgeres', 'Herbes i altres conreus farratges', 9, 90.0], ['GROUP_CAT', 'farratgeres', 'farratgeres', ""Conreus temporals d'herba i farratges"", 9, 90.0], ['GROUP_CAT', 'farratgeres', 'farratgeres', ""Cultius permanents d'herba i farratges"", 9, 90.0], ['CROPS_CAT', 'veces no sie', 'veces no sie', 'Veces', 7, 80]]","['GROUP_CAT', 'farratgeres', 'farratgeres', 'Herbes i altres conreus farratges', 9, 90.0]",9.0,90.0
altres productes,llúpol,productes,altres productes,llúpol,llúpol,"[['CROPS_CAT', 'llúpol', 'llúpol', 'Llúpol', 6, 83]]","['CROPS_CAT', 'llúpol', 'llúpol', 'Llúpol', 6, 83]",6.0,83.0
altres productes,tòfona,productes,altres productes,tòfona,tòfona,"[['CROPS_CAT', 'tòfona', 'tòfona', 'Bolets i tòfones', 2, 77.0]]","['CROPS_CAT', 'tòfona', 'tòfona', 'Bolets i tòfones', 2, 77.0]",2.0,77.0
altres productes,lavanda o espígol,productes,altres productes,lavanda espígol,lavanda o espígol,[],[],,
lleguminoses,cigrons no sie,lleguminoses,lleguminoses,cigrons no sie,cigrons no sie,"[['GROUP_CAT', 'lleguminoses', 'lleguminoses', 'Altres conreus temporals de llavors oleaginoses', 4, 78.0], ['GROUP_CAT', 'lleguminoses', 'lleguminoses', 'Altres conreus temporals de llavors oleaginoses', 4, 78.0], ['GROUP_CAT', 'lleguminoses', 'lleguminoses', 'Cultius permanents de llavors oleaginoses', 4, 78.0], ['GROUP_CAT', 'lleguminoses', 'lleguminoses', 'Altres fruites oleaginoses', 4, 78.0], ['GROUP_CAT', 'lleguminoses', 'lleguminoses', 'Cultius de lleguminoses', 7, 100.0], ['GROUP_CAT', 'lleguminoses', 'lleguminoses', 'Cultius de lleguminoses', 7, 100.0], ['CROPS_CAT', 'cigrons no sie', 'cigrons no sie', 'cigrons', 7, 100]]","['GROUP_CAT', 'lleguminoses', 'lleguminoses', 'Cultius de lleguminoses', 7, 100.0]",7.0,100.0
farratgeres,fenigrec no sie,farratgeres,farratgeres,fenigrec no sie,fenigrec no sie,"[['GROUP_CAT', 'farratgeres', 'farratgeres', 'Herbes i altres conreus farratges', 9, 90.0], ['GROUP_CAT', 'farratgeres', 'farratgeres', ""Conreus temporals d'herba i farratges"", 9, 90.0], ['GROUP_CAT', 'farratgeres', 'farratgeres', ""Cultius permanents d'herba i farratges"", 9, 90.0]]","['GROUP_CAT', 'farratgeres', 'farratgeres', 'Herbes i altres conreus farratges', 9, 90.0]",9.0,90.0
lleguminoses,favera borda no sie o moreu n*,lleguminoses,lleguminoses,favera borda no sie moreu n,favera borda no sie o moreu n*,"[['GROUP_CAT', 'lleguminoses', 'lleguminoses', 'Altres conreus temporals de llavors oleaginoses', 4, 78.0], ['GROUP_CAT', 'lleguminoses', 'lleguminoses', 'Altres conreus temporals de llavors oleaginoses', 4, 78.0], ['GROUP_CAT', 'lleguminoses', 'lleguminoses', 'Cultius permanents de llavors oleaginoses', 4, 78.0], ['GROUP_CAT', 'lleguminoses', 'lleguminoses', 'Altres fruites oleaginoses', 4, 78.0], ['GROUP_CAT', 'lleguminoses', 'lleguminoses', 'Cultius de lleguminoses', 7, 100.0], ['GROUP_CAT', 'lleguminoses', 'lleguminoses', 'Cultius de lleguminoses', 7, 100.0]]","['GROUP_CAT', 'lleguminoses', 'lleguminoses', 'Cultius de lleguminoses', 7, 100.0]",7.0,100.0
horticoles,"endívia, escarola i xicoira",horticoles,horticoles,endívia escarola i xicoira,"endívia, escarola i xicoira",[],[],,
citrics,llimoner,citrics,citrics,llimoner,llimoner,"[['GROUP_CAT', 'citrics', 'citrics', 'Altres cítrics', 3, 86.0], ['CROPS_CAT', 'llimoner', 'llimoner', 'Llimones i llimones', 3, 88.0]]","['CROPS_CAT', 'llimoner', 'llimoner', 'Llimones i llimones', 3, 88.0]",3.0,88.0
fruita dolca,caqui,fruita dolca,fruita dolca,caqui,caqui,"[['GROUP_CAT', 'fruita dolca', 'fruita dolca', 'fruits secs de cola', 3, 75.0]]","['GROUP_CAT', 'fruita dolca', 'fruita dolca', 'fruits secs de cola', 3, 75.0]",3.0,75.0
altres productes,flors i ornamentals,productes,altres productes,flors irnamentals,flors i ornamentals,"[['CROPS_CAT', 'flors i ornamentals', 'flors irnamentals', 'Cultius de flors permanents', 9, 78.5]]","['CROPS_CAT', 'flors i ornamentals', 'flors irnamentals', 'Cultius de flors permanents', 9, 78.5]",9.0,78.5
farratgeres,pèsol i ordi sie,farratgeres,farratgeres,pèsol irdi sie,pèsol i ordi sie,"[['GROUP_CAT', 'farratgeres', 'farratgeres', 'Herbes i altres conreus farratges', 9, 90.0], ['GROUP_CAT', 'farratgeres', 'farratgeres', ""Conreus temporals d'herba i farratges"", 9, 90.0], ['GROUP_CAT', 'farratgeres', 'farratgeres', ""Cultius permanents d'herba i farratges"", 9, 90.0], ['CROPS_CAT', 'pèsol i ordi sie', 'pèsol irdi sie', 'Ordi', 1, 75]]","['GROUP_CAT', 'farratgeres', 'farratgeres', 'Herbes i altres conreus farratges', 9, 90.0]",9.0,90.0
farratgeres,veça i blat sie,farratgeres,farratgeres,veça i blat sie,veça i blat sie,"[['GROUP_CAT', 'farratgeres', 'farratgeres', 'Herbes i altres conreus farratges', 9, 90.0], ['GROUP_CAT', 'farratgeres', 'farratgeres', ""Conreus temporals d'herba i farratges"", 9, 90.0], ['GROUP_CAT', 'farratgeres', 'farratgeres', ""Cultius permanents d'herba i farratges"", 9, 90.0], ['CROPS_CAT', 'veça i blat sie', 'veça i blat sie', 'Blat', 1, 75]]","['GROUP_CAT', 'farratgeres', 'farratgeres', 'Herbes i altres conreus farratges', 9, 90.0]",9.0,90.0
farratgeres,veça i blat no sie,farratgeres,farratgeres,veça i blat no sie,veça i blat no sie,"[['GROUP_CAT', 'farratgeres', 'farratgeres', 'Herbes i altres conreus farratges', 9, 90.0], ['GROUP_CAT', 'farratgeres', 'farratgeres', ""Conreus temporals d'herba i farratges"", 9, 90.0], ['GROUP_CAT', 'farratgeres', 'farratgeres', ""Cultius permanents d'herba i farratges"", 9, 90.0], ['CROPS_CAT', 'veça i blat no sie', 'veça i blat no sie', 'Blat', 1, 75]]","['GROUP_CAT', 'farratgeres', 'farratgeres', 'Herbes i altres conreus farratges', 9, 90.0]",9.0,90.0
fruita dolca,pruneres,fruita dolca,fruita dolca,pruneres,pruneres,"[['GROUP_CAT', 'fruita dolca', 'fruita dolca', 'fruits secs de cola', 3, 75.0], ['CROPS_CAT', 'pruneres', 'pruneres', 'Prunes i prunes', 3, 86.0]]","['CROPS_CAT', 'pruneres', 'pruneres', 'Prunes i prunes', 3, 86.0]",3.0,86.0
lleguminoses,erbs (llegum) no sie,lleguminoses,lleguminoses,erbs no sie,erbs (llegum) no sie,"[['GROUP_CAT', 'lleguminoses', 'lleguminoses', 'Altres conreus temporals de llavors oleaginoses', 4, 78.0], ['GROUP_CAT', 'lleguminoses', 'lleguminoses', 'Altres conreus temporals de llavors oleaginoses', 4, 78.0], ['GROUP_CAT', 'lleguminoses', 'lleguminoses', 'Cultius permanents de llavors oleaginoses', 4, 78.0], ['GROUP_CAT', 'lleguminoses', 'lleguminoses', 'Altres fruites oleaginoses', 4, 78.0], ['GROUP_CAT', 'lleguminoses', 'lleguminoses', 'Cultius de lleguminoses', 7, 100.0], ['GROUP_CAT', 'lleguminoses', 'lleguminoses', 'Cultius de lleguminoses', 7, 100.0]]","['GROUP_CAT', 'lleguminoses', 'lleguminoses', 'Cultius de lleguminoses', 7, 100.0]",7.0,100.0
altres productes,viver arbre i arbust,productes,altres productes,viver arbre i arbust,viver arbre i arbust,[],[],,
altres productes,julivert,productes,altres productes,julivert,julivert,[],[],,
cereals,mestall,cereals,cereals,mestall,mestall,"[['GROUP_CAT', 'cereals', 'cereals', 'Cereals', 1, 86], ['GROUP_CAT', 'cereals', 'cereals', 'Cereals barrejats', 1, 86.0], ['GROUP_CAT', 'cereals', 'cereals', 'Altres cereals', 1, 100.0]]","['GROUP_CAT', 'cereals', 'cereals', 'Altres cereals', 1, 100.0]",1.0,100.0
fruita dolca,nectarins,fruita dolca,fruita dolca,nectarins,nectarins,"[['GROUP_CAT', 'fruita dolca', 'fruita dolca', 'fruits secs de cola', 3, 75.0], ['CROPS_CAT', 'nectarins', 'nectarins', 'Préssecs i nectarines', 3, 95.0]]","['CROPS_CAT', 'nectarins', 'nectarins', 'Préssecs i nectarines', 3, 95.0]",3.0,95.0
lleguminoses,cigrons sie,lleguminoses,lleguminoses,cigrons sie,cigrons sie,"[['GROUP_CAT', 'lleguminoses', 'lleguminoses', 'Altres conreus temporals de llavors oleaginoses', 4, 78.0], ['GROUP_CAT', 'lleguminoses', 'lleguminoses', 'Altres conreus temporals de llavors oleaginoses', 4, 78.0], ['GROUP_CAT', 'lleguminoses', 'lleguminoses', 'Cultius permanents de llavors oleaginoses', 4, 78.0], ['GROUP_CAT', 'lleguminoses', 'lleguminoses', 'Altres fruites oleaginoses', 4, 78.0], ['GROUP_CAT', 'lleguminoses', 'lleguminoses', 'Cultius de lleguminoses', 7, 100.0], ['GROUP_CAT', 'lleguminoses', 'lleguminoses', 'Cultius de lleguminoses', 7, 100.0], ['CROPS_CAT', 'cigrons sie', 'cigrons sie', 'cigrons', 7, 100]]","['GROUP_CAT', 'lleguminoses', 'lleguminoses', 'Cultius de lleguminoses', 7, 100.0]",7.0,100.0
cereals,blat dur,cereals,cereals,blat dur,blat dur,"[['GROUP_CAT', 'cereals', 'cereals', 'Cereals', 1, 86], ['GROUP_CAT', 'cereals', 'cereals', 'Cereals barrejats', 1, 86.0], ['GROUP_CAT', 'cereals', 'cereals', 'Altres cereals', 1, 100.0], ['CROPS_CAT', 'blat dur', 'blat dur', 'Blat', 1, 75]]","['GROUP_CAT', 'cereals', 'cereals', 'Altres cereals', 1, 100.0]",1.0,100.0
fruits de closca,garrofer,fruits de closca,fruits de closca,garrofer,garrofer,"[['GROUP_CAT', 'fruits de closca', 'fruits de closca', 'Altres fruites de pinyol i fruites de pinyol', 3, 75.0], ['GROUP_CAT', 'fruits de closca', 'fruits de closca', 'fruits secs de cola', 3, 86.66666666666667]]","['GROUP_CAT', 'fruits de closca', 'fruits de closca', 'fruits secs de cola', 3, 86.66666666666667]",3.0,86.66666666666667
fruita dolca,codony,fruita dolca,fruita dolca,codony,codony,"[['GROUP_CAT', 'fruita dolca', 'fruita dolca', 'fruits secs de cola', 3, 75.0], ['CROPS_CAT', 'codony', 'codony', 'Peres i codonys', 3, 92.0]]","['CROPS_CAT', 'codony', 'codony', 'Peres i codonys', 3, 92.0]",3.0,92.0
lleguminoses,llenties no sie,lleguminoses,lleguminoses,llenties no sie,llenties no sie,"[['GROUP_CAT', 'lleguminoses', 'lleguminoses', 'Altres conreus temporals de llavors oleaginoses', 4, 78.0], ['GROUP_CAT', 'lleguminoses', 'lleguminoses', 'Altres conreus temporals de llavors oleaginoses', 4, 78.0], ['GROUP_CAT', 'lleguminoses', 'lleguminoses', 'Cultius permanents de llavors oleaginoses', 4, 78.0], ['GROUP_CAT', 'lleguminoses', 'lleguminoses', 'Altres fruites oleaginoses', 4, 78.0], ['GROUP_CAT', 'lleguminoses', 'lleguminoses', 'Cultius de lleguminoses', 7, 100.0], ['GROUP_CAT', 'lleguminoses', 'lleguminoses', 'Cultius de lleguminoses', 7, 100.0], ['CROPS_CAT', 'llenties no sie', 'llenties no sie', 'Llenties', 7, 88]]","['GROUP_CAT', 'lleguminoses', 'lleguminoses', 'Cultius de lleguminoses', 7, 100.0]",7.0,100.0
fruits de closca,pistatxer o festuc,fruits de closca,fruits de closca,pistatxer festuc,pistatxer o festuc,"[['GROUP_CAT', 'fruits de closca', 'fruits de closca', 'Altres fruites de pinyol i fruites de pinyol', 3, 75.0], ['GROUP_CAT', 'fruits de closca', 'fruits de closca', 'fruits secs de cola', 3, 86.66666666666667]]","['GROUP_CAT', 'fruits de closca', 'fruits de closca', 'fruits secs de cola', 3, 86.66666666666667]",3.0,86.66666666666667
cereals,blat khorasan,cereals,cereals,blat khorasan,blat khorasan,"[['GROUP_CAT', 'cereals', 'cereals', 'Cereals', 1, 86], ['GROUP_CAT', 'cereals', 'cereals', 'Cereals barrejats', 1, 86.0], ['GROUP_CAT', 'cereals', 'cereals', 'Altres cereals', 1, 100.0], ['CROPS_CAT', 'blat khorasan', 'blat khorasan', 'Blat', 1, 75]]","['GROUP_CAT', 'cereals', 'cereals', 'Altres cereals', 1, 100.0]",1.0,100.0
farratgeres,dàctil (dactylis),farratgeres,farratgeres,dàctil,dàctil (dactylis),"[['GROUP_CAT', 'farratgeres', 'farratgeres', 'Herbes i altres conreus farratges', 9, 90.0], ['GROUP_CAT', 'farratgeres', 'farratgeres', ""Conreus temporals d'herba i farratges"", 9, 90.0], ['GROUP_CAT', 'farratgeres', 'farratgeres', ""Cultius permanents d'herba i farratges"", 9, 90.0]]","['GROUP_CAT', 'farratgeres', 'farratgeres', 'Herbes i altres conreus farratges', 9, 90.0]",9.0,90.0
fruita dolca,presseguers/nectarins,fruita dolca,fruita dolca,presseguersnectarins,presseguers/nectarins,"[['GROUP_CAT', 'fruita dolca', 'fruita dolca', 'fruits secs de cola', 3, 75.0]]","['GROUP_CAT', 'fruita dolca', 'fruita dolca', 'fruits secs de cola', 3, 75.0]",3.0,75.0
altres productes,safrà,productes,altres productes,safrà,safrà,[],[],,
farratgeres,veça i ordi no sie,farratgeres,farratgeres,veça irdi no sie,veça i ordi no sie,"[['GROUP_CAT', 'farratgeres', 'farratgeres', 'Herbes i altres conreus farratges', 9, 90.0], ['GROUP_CAT', 'farratgeres', 'farratgeres', ""Conreus temporals d'herba i farratges"", 9, 90.0], ['GROUP_CAT', 'farratgeres', 'farratgeres', ""Cultius permanents d'herba i farratges"", 9, 90.0], ['CROPS_CAT', 'veça i ordi no sie', 'veça irdi no sie', 'Ordi', 1, 75]]","['GROUP_CAT', 'farratgeres', 'farratgeres', 'Herbes i altres conreus farratges', 9, 90.0]",9.0,90.0
farratgeres,veça i ordi sie,farratgeres,farratgeres,veça irdi sie,veça i ordi sie,"[['GROUP_CAT', 'farratgeres', 'farratgeres', 'Herbes i altres conreus farratges', 9, 90.0], ['GROUP_CAT', 'farratgeres', 'farratgeres', ""Conreus temporals d'herba i farratges"", 9, 90.0], ['GROUP_CAT', 'farratgeres', 'farratgeres', ""Cultius permanents d'herba i farratges"", 9, 90.0], ['CROPS_CAT', 'veça i ordi sie', 'veça irdi sie', 'Ordi', 1, 75]]","['GROUP_CAT', 'farratgeres', 'farratgeres', 'Herbes i altres conreus farratges', 9, 90.0]",9.0,90.0
altres productes,especies aromatiques llenyoses,productes,altres productes,especies aromatiques llenyoses,especies aromatiques llenyoses,[],[],,
farratgeres,trèvol sie,farratgeres,farratgeres,trèvol sie,trèvol sie,"[['GROUP_CAT', 'farratgeres', 'farratgeres', 'Herbes i altres conreus farratges', 9, 90.0], ['GROUP_CAT', 'farratgeres', 'farratgeres', ""Conreus temporals d'herba i farratges"", 9, 90.0], ['GROUP_CAT', 'farratgeres', 'farratgeres', ""Cultius permanents d'herba i farratges"", 9, 90.0]]","['GROUP_CAT', 'farratgeres', 'farratgeres', 'Herbes i altres conreus farratges', 9, 90.0]",9.0,90.0
farratgeres,trèvol no sie,farratgeres,farratgeres,trèvol no sie,trèvol no sie,"[['GROUP_CAT', 'farratgeres', 'farratgeres', 'Herbes i altres conreus farratges', 9, 90.0], ['GROUP_CAT', 'farratgeres', 'farratgeres', ""Conreus temporals d'herba i farratges"", 9, 90.0], ['GROUP_CAT', 'farratgeres', 'farratgeres', ""Cultius permanents d'herba i farratges"", 9, 90.0]]","['GROUP_CAT', 'farratgeres', 'farratgeres', 'Herbes i altres conreus farratges', 9, 90.0]",9.0,90.0
fruita dolca,magraner,fruita dolca,fruita dolca,magraner,magraner,"[['GROUP_CAT', 'fruita dolca', 'fruita dolca', 'fruits secs de cola', 3, 75.0]]","['GROUP_CAT', 'fruita dolca', 'fruita dolca', 'fruits secs de cola', 3, 75.0]",3.0,75.0
cereals,fajol,cereals,cereals,fajol,fajol,"[['GROUP_CAT', 'cereals', 'cereals', 'Cereals', 1, 86], ['GROUP_CAT', 'cereals', 'cereals', 'Cereals barrejats', 1, 86.0], ['GROUP_CAT', 'cereals', 'cereals', 'Altres cereals', 1, 100.0], ['CROPS_CAT', 'fajol', 'fajol', 'Fajol', 1, 80]]","['GROUP_CAT', 'cereals', 'cereals', 'Altres cereals', 1, 100.0]",1.0,100.0
altres productes,sajolida,productes,altres productes,sajolida,sajolida,[],[],,
farratgeres,veça i triticale  no sie,farratgeres,farratgeres,veça i triticale no sie,veça i triticale  no sie,"[['GROUP_CAT', 'farratgeres', 'farratgeres', 'Herbes i altres conreus farratges', 9, 90.0], ['GROUP_CAT', 'farratgeres', 'farratgeres', ""Conreus temporals d'herba i farratges"", 9, 90.0], ['GROUP_CAT', 'farratgeres', 'farratgeres', ""Cultius permanents d'herba i farratges"", 9, 90.0], ['CROPS_CAT', 'veça i triticale  no sie', 'veça i triticale no sie', 'triticale', 1, 100]]","['CROPS_CAT', 'veça i triticale  no sie', 'veça i triticale no sie', 'triticale', 1, 100]",1.0,100.0
farratgeres,pèsol i civada no sie,farratgeres,farratgeres,pèsol i civada no sie,pèsol i civada no sie,"[['GROUP_CAT', 'farratgeres', 'farratgeres', 'Herbes i altres conreus farratges', 9, 90.0], ['GROUP_CAT', 'farratgeres', 'farratgeres', ""Conreus temporals d'herba i farratges"", 9, 90.0], ['GROUP_CAT', 'farratgeres', 'farratgeres', ""Cultius permanents d'herba i farratges"", 9, 90.0], ['CROPS_CAT', 'pèsol i civada no sie', 'pèsol i civada no sie', 'Civada', 1, 83]]","['GROUP_CAT', 'farratgeres', 'farratgeres', 'Herbes i altres conreus farratges', 9, 90.0]",9.0,90.0
farratgeres,pèsol i civada sie,farratgeres,farratgeres,pèsol i civada sie,pèsol i civada sie,"[['GROUP_CAT', 'farratgeres', 'farratgeres', 'Herbes i altres conreus farratges', 9, 90.0], ['GROUP_CAT', 'farratgeres', 'farratgeres', ""Conreus temporals d'herba i farratges"", 9, 90.0], ['GROUP_CAT', 'farratgeres', 'farratgeres', ""Cultius permanents d'herba i farratges"", 9, 90.0], ['CROPS_CAT', 'pèsol i civada sie', 'pèsol i civada sie', 'Civada', 1, 83]]","['GROUP_CAT', 'farratgeres', 'farratgeres', 'Herbes i altres conreus farratges', 9, 90.0]",9.0,90.0
oleaginoses,gira-sol,oleaginoses,oleaginoses,girasol,gira-sol,"[['GROUP_CAT', 'oleaginoses', 'oleaginoses', 'Cultius oleaginosos i fruits oleaginosos', 4, 91.0], ['GROUP_CAT', 'oleaginoses', 'oleaginoses', 'Altres conreus temporals de llavors oleaginoses', 4, 100.0], ['GROUP_CAT', 'oleaginoses', 'oleaginoses', 'Altres conreus temporals de llavors oleaginoses', 4, 100.0], ['GROUP_CAT', 'oleaginoses', 'oleaginoses', 'Cultius permanents de llavors oleaginoses', 4, 100.0], ['GROUP_CAT', 'oleaginoses', 'oleaginoses', 'Altres fruites oleaginoses', 4, 100.0], ['GROUP_CAT', 'oleaginoses', 'oleaginoses', 'Cultius de lleguminoses', 7, 78.0], ['GROUP_CAT', 'oleaginoses', 'oleaginoses', 'Cultius de lleguminoses', 7, 78.0], ['CROPS_CAT', 'gira-sol', 'girasol', 'Gira-sol', 4, 80]]","['GROUP_CAT', 'oleaginoses', 'oleaginoses', 'Altres conreus temporals de llavors oleaginoses', 4, 100.0]",4.0,100.0
altres productes,coriandre,productes,altres productes,coriandre,coriandre,[],[],,
altres productes,boixac o calèndula,productes,altres productes,boixac calèndula,boixac o calèndula,[],[],,
altres productes,melissa o tarongina,productes,altres productes,melissa tarongina,melissa o tarongina,"[['CROPS_CAT', 'melissa o tarongina', 'melissa tarongina', 'missa', 5, 83]]","['CROPS_CAT', 'melissa o tarongina', 'melissa tarongina', 'missa', 5, 83]",5.0,83.0
lleguminoses,guixes no sie o pedrerol no s*,lleguminoses,lleguminoses,guixes no sie pedrerol no s,guixes no sie o pedrerol no s*,"[['GROUP_CAT', 'lleguminoses', 'lleguminoses', 'Altres conreus temporals de llavors oleaginoses', 4, 78.0], ['GROUP_CAT', 'lleguminoses', 'lleguminoses', 'Altres conreus temporals de llavors oleaginoses', 4, 78.0], ['GROUP_CAT', 'lleguminoses', 'lleguminoses', 'Cultius permanents de llavors oleaginoses', 4, 78.0], ['GROUP_CAT', 'lleguminoses', 'lleguminoses', 'Altres fruites oleaginoses', 4, 78.0], ['GROUP_CAT', 'lleguminoses', 'lleguminoses', 'Cultius de lleguminoses', 7, 100.0], ['GROUP_CAT', 'lleguminoses', 'lleguminoses', 'Cultius de lleguminoses', 7, 100.0]]","['GROUP_CAT', 'lleguminoses', 'lleguminoses', 'Cultius de lleguminoses', 7, 100.0]",7.0,100.0
fruita dolca,nesprer,fruita dolca,fruita dolca,nesprer,nesprer,"[['GROUP_CAT', 'fruita dolca', 'fruita dolca', 'fruits secs de cola', 3, 75.0]]","['GROUP_CAT', 'fruita dolca', 'fruita dolca', 'fruits secs de cola', 3, 75.0]",3.0,75.0
farratgeres,sulla no sie o enclova no sie,farratgeres,farratgeres,sulla no sie enclova no sie,sulla no sie o enclova no sie,"[['GROUP_CAT', 'farratgeres', 'farratgeres', 'Herbes i altres conreus farratges', 9, 90.0], ['GROUP_CAT', 'farratgeres', 'farratgeres', ""Conreus temporals d'herba i farratges"", 9, 90.0], ['GROUP_CAT', 'farratgeres', 'farratgeres', ""Cultius permanents d'herba i farratges"", 9, 90.0]]","['GROUP_CAT', 'farratgeres', 'farratgeres', 'Herbes i altres conreus farratges', 9, 90.0]",9.0,90.0
altres productes,farigola o timó,productes,altres productes,farigola timó,farigola o timó,[],[],,
farratgeres,poa,farratgeres,farratgeres,poa,poa,"[['GROUP_CAT', 'farratgeres', 'farratgeres', 'Herbes i altres conreus farratges', 9, 90.0], ['GROUP_CAT', 'farratgeres', 'farratgeres', ""Conreus temporals d'herba i farratges"", 9, 90.0], ['GROUP_CAT', 'farratgeres', 'farratgeres', ""Cultius permanents d'herba i farratges"", 9, 90.0]]","['GROUP_CAT', 'farratgeres', 'farratgeres', 'Herbes i altres conreus farratges', 9, 90.0]",9.0,90.0
altres productes,quinoa,productes,altres productes,quinoa,quinoa,"[['CROPS_CAT', 'quinoa', 'quinoa', 'Quinoa', 1, 83]]","['CROPS_CAT', 'quinoa', 'quinoa', 'Quinoa', 1, 83]",1.0,83.0
citrics,taronger,citrics,citrics,taronger,taronger,"[['GROUP_CAT', 'citrics', 'citrics', 'Altres cítrics', 3, 86.0], ['CROPS_CAT', 'taronger', 'taronger', 'Taronges', 3, 75]]","['GROUP_CAT', 'citrics', 'citrics', 'Altres cítrics', 3, 86.0]",3.0,86.0
